gene,score,syndromic,doc_count,total_count
POGZ,1,1,5,100
ASXL3,1,1,1,4
ZNF292,4,0,2,22
PHIP,3,1,3,6
DOCK8,3,0,3,6
ITPR1,4,0,3,6
ARHGAP32,4,0,1,2
ARHGAP33,5,0,1,2
ALOX5AP,5,0,2,4
PCCB,,1,1,8
ASMT,4,0,2,8
FOXP2,3,0,5,60
SLC7A5,3,0,5,98
MAOA,4,0,2,4
GABRA5,5,0,2,82
AGAP1,4,0,1,2
MAL,5,0,2,14
BRCA2,4,0,2,6
CDK13,,1,2,10
POU3F2,5,0,1,2
RPS6KA3,4,1,1,4
RHEB,,1,1,2
YY1,,1,1,2
PIK3CG,4,0,2,4
CARD11,4,0,1,4
OGT,,0,3,8
OPRM1,5,0,3,12
GRM4,5,0,2,14
TMLHE,3,0,1,2
IQSEC2,4,1,1,4
CHD2,1,1,4,10
KCNQ2,3,0,1,2
KCNQ3,3,0,1,2
ERBB4,5,0,3,8
PLCB1,3,0,2,8
CACNA1A,,1,1,2
PLPPR4,5,0,1,4
NRG1,5,0,1,102
ESR2,4,0,1,4
NR3C2,3,0,2,4
SLC33A1,5,0,2,180
CAMK2B,,1,1,10
NEFL,5,0,3,6
SLC16A3,6,0,3,8
SLC16A7,5,0,1,2
SLC25A14,5,0,1,2
SLC25A24,5,0,1,2
SLC25A27,4,0,2,4
MOCOS,5,0,3,10
KCNMA1,4,0,3,8
PRKCB,3,0,2,6
USP45,3,0,1,2
MED12,6,0,2,6
UPF3B,2,1,2,14
NUAK1,3,0,1,276
SIK1,,1,1,2
RIT2,4,0,3,6
LRPPRC,,0,1,4
RAB39B,4,0,1,78
PCDH11X,4,0,1,2
GABRA4,4,0,1,4
NXPH1,4,0,1,4
ETFB,3,0,1,2
CACNA1C,,1,3,154
LZTR1,3,0,1,2
ABCA13,4,0,1,22
MAGEL2,2,1,7,116
MAGED1,5,0,1,4
TANC2,3,0,1,2
PPP2R5D,4,1,1,2
SRGAP3,4,0,3,12
ADCY5,4,0,1,2
TRIP12,1,1,1,2
NAV2,3,0,2,10
LAMC3,5,0,1,2
DIP2A,3,0,1,4
UNC80,4,0,2,4
IQGAP3,4,0,1,2
STAG1,,1,1,2
CHD1,4,1,1,4
COL28A1,4,0,1,2
RFX3,4,0,1,2
ANK3,3,0,1,8
IMMP2L,4,0,1,2
DDX11,5,0,1,6
ATXN7,5,0,1,2
CEP41,3,0,1,178
LRFN2,4,0,1,2
PCDHA4,4,0,1,2
CNR2,5,0,2,26
GRM1,,0,3,8
ZNF713,4,0,1,4
RBFOX1,3,0,3,8
DPP6,4,0,1,2
RBM8A,5,0,1,376
UPF2,5,0,1,2
PAFAH1B1,5,0,2,142
ADA,3,0,3,6
NDUFA5,4,0,2,8
NR2F1,4,1,1,84
SGSH,,1,1,2
ASPM,3,0,2,4
CSNK1D,6,0,1,4
TPO,4,0,3,16
SCFD2,4,0,1,4
RGS7,4,0,1,2
YEATS2,,0,1,2
PCDHA1,4,0,1,2
CACNA1G,4,0,2,4
EIF4E,4,0,3,6
ATRNL1,5,0,1,2
BAIAP2,5,0,1,4
CAMK4,4,0,1,4
ROBO2,3,0,2,10
ROBO1,5,0,2,24
CAPRIN1,3,0,1,98
BIRC6,4,0,3,24
LRBA,4,0,1,10
ZBTB20,3,1,1,4
WAC,2,1,1,4
GPC6,4,0,1,4
DPP4,4,0,2,30
SLC9A9,4,0,2,446
SLC9A6,,1,2,28
CGNL1,3,0,1,2
HTR3A,4,0,1,4
EGR2,5,0,1,2
PPP2R1B,4,0,1,2
NSD1,,1,3,12
ADAMTS18,,0,1,2
USP9Y,4,0,1,6
UCN3,5,0,1,2
STAT1,5,0,1,8
TAF1,,1,1,8
DLX1,5,0,2,4
CC2D1A,3,0,1,2
UBE3B,5,0,1,2
FAN1,4,0,2,52
TRPM1,3,0,2,18
OTUD7A,3,0,3,312
CHD7,,1,2,4
PAH,3,0,1,2
PLXNA4,3,0,1,2
CBLN1,5,0,1,2
SCN7A,,0,1,2
JMJD1C,4,0,1,114
KDM5C,3,0,3,6
PHF8,,0,2,6
TOMM20,5,0,2,6
ATP10A,3,0,2,8
CADPS2,4,0,2,4
NTNG1,4,1,1,2
CACNB2,3,0,1,2
DEAF1,2,1,1,2
TAOK2,2,0,2,4
NR1D1,4,0,1,132
PTGS2,4,0,1,2
DUSP15,4,0,1,2
CYP11B1,4,0,1,14
TPH2,6,0,2,4
DIXDC1,4,0,1,2
IL1RAPL2,4,0,1,2
PON1,3,0,1,2
CASK,4,0,1,2
GRPR,5,0,1,2
SDC2,4,0,1,2
SLIT3,,0,1,2
ATG7,5,0,1,16
MTX2,5,0,1,2
CACNA1F,4,0,1,2
CNTN3,,0,1,2
THBS1,4,0,1,2
DRD2,4,0,1,2
ELAVL3,3,0,2,12
FBN1,3,0,1,2
ARHGEF10,4,0,1,300
CLN8,4,0,1,2
GRIK5,3,0,1,2
GATM,,1,1,34
SLC6A8,4,0,1,28
CELF6,4,0,1,78
LMX1B,3,0,1,2
NIPBL,,1,1,4
ADSL,,1,1,10
CACNA1E,3,0,1,2
ACTN4,,0,1,2
DLX2,4,0,1,2
BRAF,,1,1,2
